%time,field
1770290544493141797,40.8
1770290544513276413,38.9
1770290544533203691,39.9
1770290544573053804,40.8
1770290544593197769,44.6
1770290544653228415,38.9
1770290544673208692,41.7
1770290544733183180,39.9
1770290544753156069,43.6
1770290544793090886,38.5
1770290544813197329,40.8
1770290544873305266,43.6
1770290544933076296,40.3
1770290545033219822,39.9
1770290545053233418,38.9
1770290545213210333,38.9
1770290545253109263,44.1
1770290545273231859,44.1
1770290545313172597,38.9
1770290545333142173,40.3
1770290545393105962,38.5
1770290545433326539,43.2
1770290545513347806,43.2
1770290545593227410,38.0
1770290545633013171,38.0
1770290545653173371,41.7
1770290545693049103,45.0
1770290545713211030,40.3
1770290545773163145,38.5
1770290545933049020,43.6
1770290545953183054,38.9
1770290545973180685,44.1
1770290546033146146,42.2
1770290546073170855,38.9
1770290546113260030,38.5
1770290546173274387,39.4
1770290546193195543,42.2
1770290546233008489,39.4
1770290546253199329,39.9
1770290546333273094,44.1
1770290546373180761,39.4
1770290546393221783,40.3
1770290546453145659,39.9
1770290546473226407,39.9
1770290546573221700,37.1
1770290546613189343,38.9
1770290546693287429,38.0
1770290546773296426,38.5
1770290546793262708,38.9
1770290546833117612,39.4
1770290546912961169,38.0
1770290546953117270,42.2
1770290546993100473,38.9
1770290547013200294,41.7
1770290547053102073,40.3
1770290547093152001,41.3
1770290547153224426,40.8
1770290547173176362,38.9
1770290547213152580,41.3
1770290547293077102,43.2
1770290547313184367,42.2
1770290547333189686,41.3
1770290547433171635,42.2
1770290547473167766,41.7
1770290547513166818,42.7
1770290547533127428,41.7
1770290547553136825,43.6
1770290547593134869,41.7
1770290547613062797,38.9
1770290547673265556,42.7
1770290547732947571,43.2
1770290547752903417,38.9
1770290547833254452,39.9
1770290547853219111,40.3
1770290547893058323,43.2
1770290547913137688,41.3
1770290547993272554,41.3
1770290548113089082,41.7
1770290548132984426,39.4
1770290548153018824,38.5
1770290548193064399,40.3
1770290548273039886,39.4
1770290548313012430,39.4
1770290548353153126,44.6
1770290548373127607,39.4
1770290548433281184,39.4
1770290548453134530,44.1
1770290548533225971,38.5
1770290548593278702,43.2
1770290548613273618,40.8
1770290548653080106,39.9
1770290548673118232,39.4
1770290548713078480,43.2
1770290548733080572,39.4
1770290548753084945,38.9
1770290548893306477,43.2
1770290548933124496,38.5
1770290548953216156,39.9
1770290548973181708,41.7
1770290549013112516,38.0
1770290549033179371,38.9
1770290549093080171,39.9
1770290549193344127,40.3
1770290549253199723,42.7
1770290549393118830,39.4
1770290549413250247,38.9
1770290549473198952,40.3
1770290549513282521,39.4
1770290549573176276,40.3
1770290549633272342,42.2
1770290549773074992,38.5
1770290549793035475,39.9
1770290549853088010,41.3
1770290549873179371,40.8
1770290549893076499,42.7
1770290550013297105,40.3
1770290550073253864,40.8
1770290550113252911,43.2
1770290550193309815,38.9
1770290550233240741,41.7
1770290550252959389,43.6
1770290550313278167,40.3
1770290550373239619,38.5
1770290550413251288,40.3
1770290550453213539,43.6
1770290550473246580,39.9
1770290550533201830,43.2
1770290550613049920,39.4
1770290550653279291,38.5
1770290550693003495,37.5
1770290550713201319,38.9
1770290550753136945,38.5
1770290550773268622,42.7
1770290550833153617,38.5
1770290550853179181,43.6
1770290550912991084,43.6
1770290550933232489,39.9
1770290550953158410,41.3
1770290550993189305,43.2
1770290551013259689,38.9
1770290551073299074,43.6
1770290551093285677,39.9
1770290551132937511,39.4
1770290551153076890,40.8
1770290551173165585,38.5
1770290551213184885,43.2
1770290551232914655,43.2
1770290551253054388,43.6
1770290551292916644,38.5
1770290551353109544,37.5
1770290551373267267,42.7
1770290551393169715,38.5
1770290551433085900,39.4
1770290551473255081,42.2
1770290551513221010,40.8
1770290551533055751,36.6
1770290551572878396,41.7
1770290551613108180,41.7
1770290551653025991,42.7
1770290551673137470,38.5
1770290551693164936,39.4
1770290551753138579,42.7
1770290551773163260,40.3
1770290551853156345,40.3
1770290551913224161,41.3
1770290552053258075,40.8
1770290552073214440,41.7
1770290552113164992,39.4
1770290552193231257,37.5
1770290552273104224,39.4
1770290552333091660,39.4
1770290552373243700,41.7
1770290552413145902,43.2
1770290552433002421,45.5
1770290552493181090,38.9
1770290552533159649,40.3
1770290552573142027,40.3
1770290552593274489,37.5
1770290552633049942,42.2
1770290552653171537,38.9
1770290552713190008,41.3
1770290552733146579,40.3
1770290552753076421,40.8
1770290552793208592,39.4
1770290552833260981,38.5
1770290552872954169,40.3
1770290552893194896,38.5
1770290552913181059,43.6
1770290552953178246,43.6
1770290552973199027,43.2
1770290553013153975,40.3
1770290553033165612,39.4
1770290553053205353,39.9
1770290553093067998,38.9
1770290553173212714,43.2
1770290553193172227,38.5
1770290553233146735,38.5
1770290553273091031,38.5
1770290553313027952,40.3
1770290553393249801,39.4
1770290553413193767,39.4
1770290553433187462,39.9
1770290553473064492,40.8
