%time,field.angle,field.distance
1770290532453166621,90.0,41.3
1770290532493052810,90.0,42.2
1770290532513047720,90.0,42.2
1770290532573038726,90.0,40.3
1770290532592908095,90.0,41.3
1770290532653061948,90.0,38.0
1770290532672968187,90.0,40.3
1770290532713114343,90.0,44.1
1770290532733176941,90.0,44.1
1770290532753137290,90.0,41.7
1770290532793238913,90.0,42.7
1770290532813148817,90.0,43.6
1770290532873162221,90.0,38.9
1770290532893139267,90.0,39.9
1770290532913094777,90.0,38.0
1770290533013090911,90.0,41.3
1770290533053144666,90.0,42.2
1770290533113271179,90.0,39.4
1770290533133308830,90.0,38.5
1770290533173149016,90.0,41.3
1770290533253200137,90.0,41.7
1770290533273150547,90.0,38.9
1770290533293179081,82.9,38.9
1770290533333083738,90.0,44.1
1770290533433200529,90.0,43.2
1770290533473174565,90.0,42.7
1770290533492906724,90.0,44.1
1770290533553174942,90.0,43.6
1770290533573003412,90.0,40.8
1770290533633268834,87.9,40.3
1770290533673264989,90.0,39.4
1770290533713294961,90.0,38.9
1770290533733250023,90.0,41.3
1770290533893257400,90.0,39.9
1770290533953243621,90.0,41.3
1770290534013132791,90.0,42.2
1770290534093004987,90.0,42.7
1770290534112941810,90.0,38.9
1770290534133199243,90.0,43.6
1770290534213264624,90.0,42.7
1770290534253076864,76.8,40.3
1770290534273065450,90.0,42.7
1770290534313175295,90.0,38.9
1770290534353132506,90.0,42.2
1770290534393076182,90.0,40.3
1770290534433217866,90.0,41.3
1770290534473006463,90.0,38.0
1770290534493199805,90.0,38.5
1770290534513142938,90.0,43.2
1770290534573120670,90.0,42.7
1770290534633257605,90.0,44.1
1770290534653294935,90.0,41.3
1770290534693184866,90.0,39.4
1770290534713214858,90.0,42.7
1770290534733077570,90.0,39.9
1770290534793172343,90.0,41.3
1770290534853139067,90.0,39.4
1770290534893214612,90.0,40.3
1770290534973124190,90.0,43.6
1770290535093312453,90.0,38.5
1770290535113147615,90.0,39.9
1770290535153245800,90.0,41.3
1770290535193187858,90.0,43.6
1770290535233150424,90.0,41.7
1770290535253196904,90.0,39.4
1770290535273124694,85.0,38.9
1770290535333132623,90.0,38.9
1770290535413282402,90.0,39.9
1770290535453167436,90.0,38.5
1770290535553210178,90.0,39.9
1770290535573096497,90.0,40.8
1770290535633219195,90.0,43.2
1770290535653220428,90.0,40.8
1770290535712990700,90.0,41.7
